155,LaMelo Ball,7839960,7839960
156,Seth Curry,7834449,7834449
157,Derrick Rose,7682926,7682926
158,Cristiano Felicio,7529020,7529020
159,Rajon Rondo,7500000,7500000
160,De'Andre Hunter,7422000,7422000
162,Doug McDermott,7333333,7333333
163,Robin Lopez,7300000,7300000
164,Jaren Jackson Jr,7257360,7257360
165,JaMychal Green,7199760,7199760
166,Nemanja Bjelica,7150000,7150000
167,Patrick Williams,7068360,7068360
168,Aron Baynes,7000000,7000000
168,Darius Miller,7000000,7000000
168,Ivica Zubac,7000000,7000000
171,Jabari Parker,6930729,6930729
172,Lauri Markkanen,6731508,6731508
173,Darius Garland,6720720,6720720
174,D.J. Augustin,6666667,6666667
175,Trae Young,6571800,6571800
176,Chris Boucher,6500000,6500000
179,Isaac Okoro,6400920,6400920
180,Frank Ntilikina,6176578,6176578
182,Jarrett Culver,6104280,6104280
183,Ish Smith,6000000,6000000
183,Alec Burks,6000000,6000000
185,Mo Bamba,5969040,5969040
186,Onyeka Okongwu,5813640,5813640
187,Justin Holiday,5720400,5720400
188,Dennis Smith Jr,5686677,5686677
189,Avery Bradley,5635000,5635000
191,Coby White,5572680,5572680
192,Trey Lyles,5500000,5500000
193,Wendell Carter Jr,5448840,5448840
195,Malik Monk,5345687,5345687
196,Killian Hayes,5307120,5307120
197,Luke Kennard,5273826,5273826
199,Donovan Mitchell,5195501,5195501
200,Rodney McGruder,5192307,5192307
201,Bam Adebayo,5115492,5115492
202,Justin Jackson,5109637,5109637
203,Jaxson Hayes,5105160,5105160
204,Richaun Holmes,5005350,5005350
204,Enes Kanter,5005350,5005350
204,Mike Scott,5005350,5005350
204,Ed Davis,5005350,5005350
208,Nerlens Noel,5000000,5000000
208,Daniel Theis,5000000,5000000
211,Collin Sexton,4991880,4991880
212,Pat Connaughton,4938273,4938273
213,Obi Toppin,4862040,4862040
214,Kevon Looney,4821429,4821429
215,Elfrid Payton,4767000,4767000
215,Josh Jackson,4767000,4767000
215,Garrett Temple,4767000,4767000
215,Kris Dunn,4767000,4767000
219,Rui Hachimura,4692840,4692840
220,Denzel Valentine,4642800,4642800
222,D.J. Wilson,4548280,4548280
223,Deni Avdija,4469160,4469160
224,Cam Reddish,4458000,4458000
225,T.J. Leaf,4431423,4431423
226,Mikal Bridges,4359000,4359000
227,Jalen Smith,4245720,4245720
228,Cameron Johnson,4235160,4235160
229,Reggie Bullock,4200000,4200000
229,JaVale McGee,4200000,4200000
231,Shai Gilgeous-Alexander,4141320,4141320
232,John Collins,4137302,4137302
233,Willie Cauley-Stein,4100000,4100000
234,Devin Vassell,4033440,4033440
235,P.J. Washington,4023600,4023600
236,Patrick McCaw,4000000,4000000
236,Dorian Finney-Smith,4000000,4000000
238,Alex Len,3970648,3970648
239,Terrance Ferguson,3944013,3944013
240,Miles Bridges,3934320,3934320
241,Austin Rivers,3929049,3929049
242,Jevon Carter,3925000,3925000
243,Jarrett Allen,3909902,3909902
244,Nicolo Melli,3897436,3897436
245,OG Anunoby,3872215,3872215
246,Gabriel Deck,3870370,3870370
247,Tyrese Haliburton,3831840,3831840
248,Tyler Herro,3822240,3822240
249,Patrick Patterson,3814771,3814771
250,Stanley Johnson,3804150,3804150
251,Jake Layman,3761085,3761085
252,Jerome Robinson,3737520,3737520
253,Danuel House Jr,3717000,3717000
255,Romeo Langford,3631200,3631200
256,Bobby Portis,3623000,3623000
256,Wesley Matthews,3623000,3623000
259,Wayne Ellington,3564753,3564753
260,Kyle Kuzma,3562178,3562178
261,Michael Porter Jr,3550800,3550800
262,Tony Bradley,3542060,3542060
263,Derrick White,3516284,3516284
264,T.J. McConnell,3500000,3500000
264,Boban Marjanovic,3500000,3500000
264,Bismack Biyombo,3500000,3500000
268,Josh Hart,3491159,3491159
269,Aaron Nesmith,3458400,3458400
270,Sekou Doumbouya,3449400,3449400
271,Dewayne Dedmon,3447478,3447478
273,Jeff Teague,3372826,3372826
274,Michael Carter-Williams,3300000,3300000
276,Cole Anthony,3285120,3285120
277,Taj Gibson,3283684,3283684
278,Facundo Campazzo,3200000,3200000
280,Chuma Okeke,3121080,3121080
280,Isaiah Stewart,3121080,3121080
282,Nickeil Alexander-Walker,3113160,3113160
283,DeMarcus Cousins,3051832,3051832
284,Donte DiVincenzo,3044160,3044160
285,Khem Birch,3011499,3011499
286,Trey Burke,3000000,3000000
288,Aleksej Pokusevski,2964840,2964840
289,Goga Bitadze,2957520,2957520
290,Lonnie Walker,2895720,2895720
291,Ben McLemore,2893630,2893630
294,Josh Green,2816760,2816760
295,Kevin Huerter,2761920,2761920
296,Alex Caruso,2750000,2750000
298,Matisse Thybulle,2711280,2711280
299,Saddiq Bey,2689920,2689920
300,Josh Okogie,2651040,2651040
301,Vincent Poirier,2619207,2619207
302,Brandon Clarke,2602920,2602920
303,Precious Achiuwa,2582160,2582160
304,Carmelo Anthony,2564753,2564753
304,Dwight Howard,2564753,2564753
304,Jared Dudley,2564753,2564753
304,Marc Gasol,2564753,2564753
304,Jeff Green,2564753,2564753
311,Grayson Allen,2545320,2545320
312,Grant Williams,2498760,2498760
313,Tyrese Maxey,2478840,2478840
314,Chandler Hutchison,2443440,2443440
315,Mfiondu Kabengele,2432353,2432353
316,Darius Bazley,2399160,2399160
317,Moritz Wagner,2383915,2383915
