74,Kristaps Porzingis,DAL,43.00,30.90,0.73,0.54,1.27,3.97
75,Victor Oladipo,MIA,33.00,32.70,0.75,0.49,1.24,3.29
76,Wayne Ellington,DET,46.00,22.00,1.15,0.09,1.24,2.99
77,Patrick Beverley,LAC,37.00,22.50,-0.30,1.54,1.24,2.33
78,OG Anunoby,TOR,43.00,33.30,-0.46,1.68,1.22,4.21
79,Pascal Siakam,TOR,56.00,35.80,-0.51,1.72,1.22,6.00
80,Seth Curry,PHI,57.00,28.70,-0.48,1.69,1.20,4.71
81,Marcus Smart,BOS,48.00,32.90,0.61,0.57,1.18,4.91
82,Mason Plumlee,DET,56.00,26.80,-1.37,2.54,1.17,4.17
83,Royce O'Neale,UTA,71.00,31.50,-1.65,2.81,1.16,6.56
84,Draymond Green,GSW,63.00,31.50,-0.52,1.68,1.16,5.86
85,Gordon Hayward,CHA,44.00,34.00,0.39,0.76,1.15,4.53
86,Caris LeVert,IND,47.00,31.60,1.41,-0.27,1.14,4.47
87,Grayson Allen,MEM,50.00,25.20,1.23,-0.13,1.10,3.83
88,Nikola Vucevic,CHI,70.00,33.50,-0.25,1.33,1.08,6.78
89,Kentavious Caldwell-Pope,LAL,67.00,28.40,-1.73,2.80,1.07,5.20
90,Norman Powell,POR,69.00,32.00,0.70,0.36,1.06,6.34
91,Reggie Jackson,LAC,67.00,23.00,-0.12,1.15,1.04,4.39
92,D'Angelo Russell,MIN,42.00,28.50,2.58,-1.60,0.98,3.56
93,Kelly Olynyk,HOU,70.00,28.50,0.31,0.64,0.95,5.48
94,Harrison Barnes,SAC,58.00,36.20,-0.93,1.87,0.94,5.72
95,Richaun Holmes,SAC,61.00,29.20,-1.31,2.25,0.94,4.74
96,Malik Beasley,MIN,37.00,32.80,1.16,-0.22,0.94,3.36
97,De'Andre Hunter,ATL,23.00,29.50,0.20,0.72,0.92,1.88
98,Ricky Rubio,MIN,68.00,26.10,0.05,0.86,0.91,4.89
99,Kendrick Nunn,MIA,56.00,29.50,0.26,0.63,0.89,4.41
100,Dennis Schroder,LAL,61.00,32.10,-0.62,1.49,0.88,5.14
102,Shai Gilgeous-Alexander,OKC,35.00,33.70,0.92,-0.07,0.86,3.06
103,Paul Millsap,DEN,56.00,20.80,-0.95,1.79,0.84,2.85
104,Kevin Huerter,ATL,69.00,30.80,-0.31,1.12,0.81,5.76
105,Mike Muscala,OKC,35.00,18.40,1.35,-0.59,0.76,2.05
106,Chris Boucher,TOR,60.00,24.20,1.24,-0.50,0.74,4.18
107,Al Horford,OKC,28.00,27.90,-0.57,1.31,0.74,1.84
108,Dorian Finney-Smith,DAL,60.00,32.00,-0.93,1.64,0.71,4.68
109,Ivica Zubac,LAC,72.00,22.30,-0.67,1.37,0.70,4.37
110,RJ Barrett,NYK,72.00,34.90,-2.32,3.00,0.68,5.71
112,Saddiq Bey,DET,70.00,27.30,-0.40,1.05,0.66,4.84
113,Sam Merrill,MIL,30.00,7.80,1.70,-1.07,0.64,0.61
114,LaMelo Ball,CHA,51.00,28.80,2.96,-2.37,0.60,3.99
115,Aaron Gordon,DEN,50.00,27.70,-1.57,2.11,0.54,3.05
116,Luguentz Dort,OKC,52.00,29.70,-1.65,2.17,0.52,3.50
117,Nicolas Batum,LAC,67.00,27.40,-0.49,0.99,0.50,4.54
118,Eric Gordon,HOU,27.00,29.20,2.48,-2.00,0.48,2.10
119,Mychal Mulder,GSW,60.00,12.80,1.44,-0.98,0.47,2.07
120,De'Anthony Melton,MEM,52.00,20.10,2.20,-1.75,0.45,3.06
121,Ja Morant,MEM,63.00,32.60,1.35,-0.94,0.41,4.62
122,Georges Niang,UTA,72.00,16.00,0.69,-0.28,0.40,2.91
123,Ty Jerome,OKC,33.00,23.90,2.55,-2.17,0.37,2.04
124,Kelan Martin,IND,35.00,9.20,1.16,-0.81,0.35,0.87
